,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
5337,Digital,OverDrive,EBOOK,2018,1,1,News from Nowhere and Other Writings,,William Morris,"Nonfiction, Sociology","Penguin Group (USA), Inc.",2011
5341,Digital,OverDrive,EBOOK,2018,1,4,Ulysses,,James Joyce,"Classic Literature, Fiction, Literature","Random House, Inc.",2010
5342,Digital,OverDrive,EBOOK,2018,1,1,Mutant Mantis Lunch Ladies: A Monstertown Mystery,,Bruce Hale,"Horror, Humor (Fiction), Juvenile Fiction, Mystery",Disney Digital Books,2017
5350,Digital,OverDrive,EBOOK,2018,1,2,Soar!: Build Your Vision from the Ground Up,,T. D. Jakes,"Nonfiction, Religion & Spirituality","Hachette Digital, Inc.",2017
5355,Digital,OverDrive,EBOOK,2018,1,1,"L.A. Confidential: L. A. Quartet, Book 3",,James Ellroy,"Fiction, Historical Fiction, Mystery","Hachette Digital, Inc.",2013
5358,Digital,OverDrive,EBOOK,2018,1,5,Stirring the Pot with Benjamin Franklin: A Founding Father's Culinary Adventures,,Rae Katherine Eighmey,"Biography & Autobiography, Cooking & Food, History, Nonfiction","Random House, Inc.",2018
5360,Digital,OverDrive,EBOOK,2018,1,1,The Legend of Sleepy Hollow,,Washington Irving,"Classic Literature, Mystery, Young Adult Fiction",childrensElibrary,2005
5363,Digital,OverDrive,EBOOK,2018,1,3,"The Modern Ayurvedic Cookbook: Healthful, Healing Recipes for Life",,Amrita Sondhi,"Cooking & Food, Nonfiction",Lightning Source Inc,2011
5368,Digital,OverDrive,EBOOK,2018,1,1,The Lion and the Crow,,Eli Easton,"Fiction, Historical Fiction, Romance",Dreamspinner Press,2015
5374,Digital,OverDrive,EBOOK,2018,1,5,A Course in Miracles: Original Edition,,Anonymous,"Nonfiction, Religion & Spirituality","BookMasters, Inc.",2010
5376,Digital,OverDrive,EBOOK,2018,1,1,I Was a Rat!,,Philip Pullman,"Folklore, Juvenile Fiction, Juvenile Literature","Random House, Inc.",2017
5379,Digital,OverDrive,EBOOK,2018,1,2,"Mrs. Master Is a Disaster!: My Weirdest School Series, Book 8",,Dan Gutman,"Humor (Fiction), Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2017
5385,Digital,OverDrive,EBOOK,2018,1,3,The Awakening: And Selected Short Stories,,Kate Chopin,"Fiction, Literary Anthologies, Literature, Short Stories",Duke Classics,2018
5387,Digital,OverDrive,EBOOK,2018,1,19,The Snow Child: A Novel,,Eowyn Ivey,"Fiction, Historical Fiction, Literature","Hachette Digital, Inc.",2013
5389,Digital,OverDrive,EBOOK,2018,1,1,Girl Factory: A Memoir,,Karen Dietrich,"Biography & Autobiography, Nonfiction",Rowman and Littlefield Publishing Group,2013
5403,Digital,OverDrive,EBOOK,2018,1,1,"Tempted at Midnight: Mayhem in Mayfair Series, Book 4",,Jacquie D' Alessandro,"Fiction, Romance","Penguin Group (USA), Inc.",2009
5406,Digital,OverDrive,EBOOK,2018,1,1,It Takes a Village,,Hillary Rodham Clinton,"Nonfiction, Politics","Simon & Schuster, Inc.",2016
5408,Digital,OverDrive,EBOOK,2018,1,1,National Geographic Readers: Red Pandas,,Laura Marsh,"Juvenile Nonfiction, Nature","Random House, Inc.",2017
5409,Digital,OverDrive,EBOOK,2018,1,1,"Prince Harry: Brother, Soldier, Son",,Penny Junor,"Biography & Autobiography, Nonfiction","Hachette Digital, Inc.",2014
5414,Digital,OverDrive,EBOOK,2018,1,1,Palmetto Moon: A Lowcountry Novel,,Kim Boykin,"Fiction, Literature, Romance","Penguin Group (USA), Inc.",2014
5420,Digital,OverDrive,EBOOK,2018,1,1,The Quickest Kid in Clarksville,,Pat Zietlow Miller,"Juvenile Fiction, Picture Book Fiction",Chronicle Books,2017
5431,Digital,OverDrive,EBOOK,2018,1,1,Attack of the Shadow-Crafters: The Birth of Herobrine Book Two: A Gameknight999 Adventure: An Unofficial Minecrafters Adventure,,Mark Cheverton,"Juvenile Fiction, Juvenile Literature",Lightning Source Inc,2016
5433,Digital,OverDrive,EBOOK,2018,1,1,Under the Egg,,Laura Marx Fitzgerald,"Juvenile Fiction, Mystery","Penguin Group (USA), Inc.",2014
5434,Digital,OverDrive,EBOOK,2018,1,2,"Scandal Never Sleeps: The Perfect Gentlemen Series, Book 1",,Shayla Black,"Fiction, Romance, Suspense, Thriller","Penguin Group (USA), Inc.",2015
5455,Digital,OverDrive,EBOOK,2018,1,3,"The Wide Window: A Series of Unfortunate Events, Book 3",,Lemony Snicket,"Fantasy, Juvenile Fiction",HarperCollins Publishers Inc.,2007
5456,Digital,OverDrive,EBOOK,2018,1,1,Paul McCartney: The Life,,Philip Norman,"Biography & Autobiography, Nonfiction, Performing Arts","Hachette Digital, Inc.",2016
5460,Digital,OverDrive,EBOOK,2018,1,1,"Wait for You: Wait for You Series, Book 1",,J. Lynn,"Fiction, Romance",HarperCollins Publishers Inc.,2014
5464,Digital,OverDrive,EBOOK,2018,1,1,Sex on the Brain: The Biological Differences Between Men and Women,,Deborah Blum,"Gender Studies, Nonfiction, Science","Penguin Group (USA), Inc.",2009
5465,Digital,OverDrive,EBOOK,2018,1,1,Swimsuit,,James Patterson,"Fiction, Thriller","Hachette Digital, Inc.",2009
5469,Digital,OverDrive,EBOOK,2018,1,2,"Eternal Rider: Lords of Deliverance Series, Book 1",,Larissa Ione,"Fantasy, Fiction, Romance","Hachette Digital, Inc.",2013
5474,Digital,OverDrive,EBOOK,2018,1,2,Dreamland: Adventures in the Strange Science of Sleep,,David K. Randall,"Health & Fitness, Nonfiction, Science",W. W. Norton & Company,2015
5477,Digital,OverDrive,EBOOK,2018,1,2,"Being Me: Inside Out Series, Book 2",,Lisa Renee Jones,"Erotic Literature, Fiction, Romance, Suspense","Simon & Schuster, Inc.",2014
5481,Digital,OverDrive,EBOOK,2018,1,1,My Argument with the Gestapo,,Thomas Merton,"Fiction, Literature","Random House, Inc.",2012
5485,Digital,OverDrive,EBOOK,2018,1,9,Ikigai: The Japanese Secret to a Long and Happy Life,,Héctor García,"Health & Fitness, Nonfiction, Philosophy, Self-Improvement","Penguin Group (USA), Inc.",2017
5488,Digital,OverDrive,EBOOK,2018,1,1,"Marvel Adventures Spider-Man, Issue 21",,Michael Ohare,"Comic and Graphic Books, Young Adult Fiction","Marvel Entertainment, LLC",2010
5491,Digital,OverDrive,EBOOK,2018,1,2,Unnatural Creatures: Stories Selected by Neil Gaiman,,Neil Gaiman,"Short Stories, Young Adult Fiction",HarperCollins Publishers Inc.,2013
5495,Digital,OverDrive,EBOOK,2018,1,5,Kachka: A Return to Russian Cooking,,Bonnie Frumkin Morales,"Cooking & Food, Nonfiction",Macmillan Publishers,2017
5500,Digital,OverDrive,EBOOK,2018,1,3,Sweet and Deadly,,Charlaine Harris,"Fiction, Mystery","Penguin Group (USA), Inc.",2009
5501,Digital,OverDrive,EBOOK,2018,1,5,"Twice Tempted: Night Prince Series, Book 2",,Jeaniene Frost,"Fantasy, Fiction, Romance",HarperCollins Publishers Inc.,2013
5503,Digital,OverDrive,EBOOK,2018,1,2,The Rape of Nanking: The Forgotten Holocaust of World War II,,Iris Chang,"History, Nonfiction",Perseus Books Group,2011
5507,Digital,OverDrive,EBOOK,2018,1,3,"Fantasy in Death: In Death Series, Book 30",,J. D. Robb,"Fiction, Romance, Suspense","Penguin Group (USA), Inc.",2010
5508,Digital,OverDrive,EBOOK,2018,1,5,Backpacking Washington: From Volcanic Peaks to Rainforest Valleys,,Douglas Lorain,"Health & Fitness, Nonfiction, Sports & Recreations, Travel",Lightning Source Inc,2012
5509,Digital,OverDrive,EBOOK,2018,1,3,The Mysterious Mr. Quin,,Agatha Christie,"Fiction, Mystery",HarperCollins Publishers Inc.,2010
5511,Digital,OverDrive,EBOOK,2018,1,1,Pacific Salmon,,Jason Cooper,"Juvenile Nonfiction, Nature, Science",Britannica Digital Learning,2013
5514,Digital,OverDrive,EBOOK,2018,1,6,The Bad Food Bible: How and Why to Eat Sinfully,,Aaron Carroll,"Health & Fitness, Nonfiction",Houghton Mifflin Harcourt Trade and Reference,2017
5522,Digital,OverDrive,EBOOK,2018,1,4,"An Aegean April: Andreas Kaldis Series, Book 9",,Jeffrey Siger,"Fiction, Mystery",Poisoned Pen Press,2018
5524,Digital,OverDrive,EBOOK,2018,1,3,Marry Him: The Case for Settling for Mr. Good Enough,,Lori Gottlieb,"Family & Relationships, Nonfiction","Penguin Group (USA), Inc.",2010
5537,Digital,OverDrive,EBOOK,2018,1,1,Your Scandalous Ways,,Loretta Chase,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2012
5538,Digital,OverDrive,EBOOK,2018,1,1,The Fix 2,,K'wan,"Fiction, Urban Fiction","Random House, Inc.",2015
5539,Digital,OverDrive,EBOOK,2018,1,1,"Valentine's Day Disaster: Geronimo Stilton Series, Book 23",,Geronimo Stilton,"Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)",2015
5540,Digital,OverDrive,EBOOK,2018,1,3,"Mr. Klutz Is Nuts!: My Weird School Series, Book 2",,Dan Gutman,"Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2008
5541,Digital,OverDrive,EBOOK,2018,1,1,"Trespassing on Einstein's Lawn: A Father, a Daughter, the Meaning of Nothing, and the Beginning of Everything",,Amanda Gefter,"Biography & Autobiography, Nonfiction, Philosophy, Science","Random House, Inc.",2014
5542,Digital,OverDrive,EBOOK,2018,1,3,"The Like Switch: An Ex-FBI Agent's Guide to Influencing, Attracting, and Winning People Over",,Jack Schafer,"Business, Nonfiction, Self-Improvement, Sociology","Simon & Schuster, Inc.",2015
5543,Digital,OverDrive,EBOOK,2018,1,1,Hawksmaid: The Untold Story of Robin Hood and Maid Marian,,Kathryn Lasky,"Folklore, Historical Fiction, Young Adult Fiction",HarperCollins Publishers Inc.,2010
5553,Digital,OverDrive,EBOOK,2018,1,4,How to Walk,,Thich Nhat Hanh,"Nonfiction, Philosophy, Religion & Spirituality, Self-Improvement","Random House, Inc.",2015
5554,Digital,OverDrive,EBOOK,2018,1,2,"Blindsight: Jack Stapleton / Laurie Montgomery Series, Book 1",,Robin Cook,"Fiction, Thriller","Penguin Group (USA), Inc.",2013
5560,Digital,OverDrive,EBOOK,2018,1,1,"Lord, Where Are You When Bad Things Happen?: A Devotional Study on Living by Faith",,Kay Arthur,"Nonfiction, Religion & Spirituality","Random House, Inc.",2009
5567,Digital,OverDrive,EBOOK,2018,1,1,Other People: Takes & Mistakes,,David Shields,"Biography & Autobiography, Literary Criticism, Nonfiction","Random House, Inc.",2017
5570,Digital,OverDrive,EBOOK,2018,1,5,Wild Invitation: A Psy-Changeling Collection,,Nalini Singh,"Fantasy, Fiction, Romance","Penguin Group (USA), Inc.",2013
5571,Digital,OverDrive,EBOOK,2018,1,1,Sophomore: Undeclared,,Daisy Harris,"Erotic Literature, Fiction, Romance",Totally Bound Publishing,2013
5572,Digital,OverDrive,EBOOK,2018,1,2,Bryan Peterson's Understanding Photography Field Guide: How to Shoot Great Photographs with Any Camera,,Bryan Peterson,"Nonfiction, Photography, Reference","Random House, Inc.",2012
5577,Digital,OverDrive,EBOOK,2018,1,1,Are You Fully Charged?: The 3 Keys to Energizing Your Work and Life,,Tom Rath,"Business, Nonfiction",Lightning Source Inc,2015
5580,Digital,OverDrive,EBOOK,2018,1,1,"Sweet as Sugar, Hot as Spice: Farrel Sisters Series, Book 3",,Kimberly Raye,"Fiction, Romance","Hachette Digital, Inc.",2013
5583,Digital,OverDrive,EBOOK,2018,1,3,"Island of Graves: The Unwanteds Series, Book 6",,Lisa McMann,"Fantasy, Young Adult Fiction","Simon & Schuster, Inc.",2015
5587,Digital,OverDrive,EBOOK,2018,1,3,Saint Martin's Day,,Kim Fielding,"Fiction, Literature, Non-English Fiction, Romance",Dreamspinner Press,2017
5592,Digital,OverDrive,EBOOK,2018,1,7,"Guilty Pleasures: Anita Blake, Vampire Hunter Series, Book 1",,Laurell K. Hamilton,"Fantasy, Fiction, Romance","Penguin Group (USA), Inc.",2011
5595,Digital,OverDrive,EBOOK,2018,1,7,Imperfect Justice,,Cara C. Putman,"Fiction, Romance, Suspense, Thriller",Thomas Nelson Inc.,2017
5615,Digital,OverDrive,EBOOK,2018,1,3,Cinnamon,,Neil Gaiman,"Folklore, Juvenile Fiction, Picture Book Fiction",HarperCollins Publishers Inc.,2017
5624,Digital,OverDrive,EBOOK,2018,1,1,"Wolfgang Puck Makes It Healthy: Light, Delicious Recipes and Easy Exercises for a Better Life",,Wolfgang Puck,"Cooking & Food, Health & Fitness, Nonfiction","Hachette Digital, Inc.",2014
5628,Digital,OverDrive,EBOOK,2018,1,23,Tenth of December: Stories,,George Saunders,"Fiction, Literature, Short Stories","Random House, Inc.",2013
5630,Digital,OverDrive,EBOOK,2018,1,1,"The Only Game: Home Team Series, Book 1",,Mike Lupica,"Juvenile Fiction, Juvenile Literature","Simon & Schuster, Inc.",2015
5631,Digital,OverDrive,EBOOK,2018,1,3,Black & Decker The Complete Guide to Plumbing,,Editors of Cool Springs Press,"Home Design & Décor, Nonfiction",Quarto Publishing Group USA,2017
5633,Digital,OverDrive,EBOOK,2018,1,1,The Unfinished World: And Other Stories,,Amber Sparks,"Fiction, Short Stories",W. W. Norton & Company,2016
5637,Digital,OverDrive,EBOOK,2018,1,2,Freud: The Making of an Illusion,,Frederick Crews,"Biography & Autobiography, History, Nonfiction, Psychology",Macmillan Publishers,2017
5647,Digital,OverDrive,EBOOK,2018,1,3,Ziegfeld Girls,,Sarah Barthel,"Fiction, Historical Fiction","Random House, Inc.",2018
5669,Digital,OverDrive,EBOOK,2018,1,1,Nantucket Sisters: A Novel,,Nancy Thayer,"Fiction, Romance","Random House, Inc.",2014
5674,Digital,OverDrive,EBOOK,2018,1,1,"Bookmarks Are People Too!: Here's Hank Series, Book 1",,Henry Winkler,"Juvenile Fiction, Juvenile Literature","Penguin Group (USA), Inc.",2014
5694,Digital,OverDrive,EBOOK,2018,1,2,"The Body in the Bookcase: Faith Fairchild Series, Book 9",,Katherine Hall Page,"Fiction, Mystery",HarperCollins Publishers Inc.,2007
5696,Digital,OverDrive,EBOOK,2018,1,2,"Ironside: The Modern Faerie Tales Series, Book 3",,Holly Black,"Fantasy, Young Adult Fiction","Simon & Schuster, Inc.",2014
5707,Digital,OverDrive,EBOOK,2018,1,1,Essential Reiki Teaching Manual: A Companion Guide for Reiki Healers,,Diane Stein,"New Age, Nonfiction, Religion & Spirituality","Random House, Inc.",2011
5712,Digital,OverDrive,EBOOK,2018,1,3,"Still Life with Crows: Pendergast Series, Book 4",,Douglas Preston,"Fiction, Thriller","Hachette Digital, Inc.",2005
5719,Digital,OverDrive,EBOOK,2018,1,3,"Sleeping Murder: Miss Marple Series, Book 12",,Agatha Christie,"Fiction, Historical Fiction, Mystery",HarperCollins Publishers Inc.,2017
5722,Digital,OverDrive,EBOOK,2018,1,1,Henry and the Elephant (Thomas & Friends),,Rev. W. Awdry,"Beginning Reader, Juvenile Fiction, Picture Book Fiction","Random House, Inc.",2011
5725,Digital,OverDrive,EBOOK,2018,1,3,"Heart of Venom: Elemental Assassin Series, Book 9",,Jennifer Estep,"Fantasy, Fiction, Romance","Simon & Schuster, Inc.",2014
5732,Digital,OverDrive,EBOOK,2018,1,1,Omega City,,Diana Peterfreund,,HarperCollins Publishers Inc.,2015
5737,Digital,OverDrive,EBOOK,2018,1,1,Bitter Harvest: A Womans Fury A Mothers Sacrifice,,Ann Rule,"Nonfiction, True Crime","Simon & Schuster, Inc.",2014
5739,Digital,OverDrive,EBOOK,2018,1,2,Love That Dog: A Novel,,Sharon Creech,"Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2015
5740,Digital,OverDrive,EBOOK,2018,1,1,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,,Bill Bryson,"Language Arts, Nonfiction, Reference","Random House, Inc.",2010
5742,Digital,OverDrive,EBOOK,2018,1,1,The Elephant's Tale,,Lauren St. John,Juvenile Fiction,"Penguin Group (USA), Inc.",2010
5747,Digital,OverDrive,EBOOK,2018,1,1,Lucky Supreme: A Novel of Many Crimes,,Jeff Johnson,"Fiction, Humor (Fiction), Mystery",Lightning Source Inc,2017
5750,Digital,OverDrive,EBOOK,2018,1,1,"The Sly Spy: Olivia Sharp, Agent for Secrets Series, Book 3",,Marjorie Weinman Sharmat,"Juvenile Fiction, Mystery","Random House, Inc.",2011
5751,Digital,OverDrive,EBOOK,2018,1,2,Learning to Love: Exploring Solitude and Freedom,,Thomas Merton,"Nonfiction, Religion & Spirituality",HarperCollins Publishers Inc.,2010
5755,Digital,OverDrive,EBOOK,2018,1,2,"City of Night: The House War Series, Book 2",,Michelle West,"Fantasy, Fiction","Penguin Group (USA), Inc.",2012
5756,Digital,OverDrive,EBOOK,2018,1,5,Crazy Horse and Custer: The Parallel Lives of Two American Warriors,,Stephen E. Ambrose,"Biography & Autobiography, History, Military, Nonfiction",Open Road Integrated Media,2016
5766,Digital,OverDrive,EBOOK,2018,1,1,Tracker and the Spy,,D. Jackson Leigh,"Fiction, Literature","Bold Strokes Books, Inc.",2016
5773,Digital,OverDrive,EBOOK,2018,1,1,"Summerkin: Winterling Series, Book 2",,Sarah Prineas,"Fantasy, Juvenile Fiction",HarperCollins Publishers Inc.,2013
5775,Digital,OverDrive,EBOOK,2018,1,3,"The Cross of Lead: Crispin Series, Book 1",,Avi,"Historical Fiction, Juvenile Fiction",Disney Digital Books,2011
5776,Digital,OverDrive,EBOOK,2018,1,3,"Accounting 101: From Calculating Revenues and Profits to Determining Assets and Liabilities, an Essential Guide to Accounting Basics",,Michele Cagan,"Business, Management, Nonfiction","Simon & Schuster, Inc.",2017
5778,Digital,OverDrive,EBOOK,2018,1,1,Vegetables in Underwear,,Jared Chapman,"Humor (Fiction), Juvenile Fiction, Picture Book Fiction",ABRAMS,2015
5795,Digital,OverDrive,EBOOK,2018,1,1,Reckoning,,David Halberstam,"Business, Nonfiction",Open Road Integrated Media,2013
5800,Digital,OverDrive,EBOOK,2018,1,1,A Nation of Wimps: The High Cost of Invasive Parenting,,Hara Estroff Marano,"Nonfiction, Psychology","Random House, Inc.",2008
5801,Digital,OverDrive,EBOOK,2018,1,1,Priscilla: The Hidden Life of an Englishwoman in Wartime France,,Nicholas Shakespeare,"Biography & Autobiography, History, Military, Nonfiction",HarperCollins Publishers Inc.,2014
5811,Digital,OverDrive,EBOOK,2018,1,2,The Everything Guide to Online Genealogy: A Complete Resource to Using the Web to Trace Your Family History,,Kimberly Powell,"Family & Relationships, Genealogy, Nonfiction","Simon & Schuster, Inc.",2012
5817,Digital,OverDrive,EBOOK,2018,1,2,"Falling for Trouble: Librarians in Love Series, Book 2",,Sarah Title,"Fiction, Humor (Fiction), Romance","Random House, Inc.",2017
5819,Digital,OverDrive,EBOOK,2018,1,1,The Genius of Judaism,,Bernard-Henri Lévy,"Nonfiction, Philosophy, Politics, Religion & Spirituality","Random House, Inc.",2017
5820,Digital,OverDrive,EBOOK,2018,1,2,"City of Heavenly Fire: Shadowhunters: The Mortal Instruments Series, Book 6",,Cassandra Clare,"Fantasy, Young Adult Fiction","Simon & Schuster, Inc.",2014
5823,Digital,OverDrive,EBOOK,2018,1,5,"Captivated: Donovan Legacy Series, Book 1",,Nora Roberts,"Fiction, Romance","Penguin Group (USA), Inc.",2013
5832,Digital,OverDrive,EBOOK,2018,1,4,"The Marrying Season: Legend of St. Dwynwen Series, Book 3",,Candace Camp,"Fiction, Historical Fiction, Romance","Simon & Schuster, Inc.",2014
5839,Digital,OverDrive,EBOOK,2018,1,1,Ivy,,Katherine Coville,"Juvenile Fiction, Juvenile Literature","Random House, Inc.",2017
5843,Digital,OverDrive,EBOOK,2018,1,1,Blossom,,Constance Bennett,"Fiction, Romance",Open Road Integrated Media,2009
5844,Digital,OverDrive,EBOOK,2018,1,1,"Waking Up with a Rake: Regency Rakes Series, Book 1",,Connie Mason,"Fiction, Historical Fiction, Romance",Sourcebooks,2013
5845,Digital,OverDrive,EBOOK,2018,1,1,Toot and Puddle,,Holly Hobbie,Juvenile Fiction,childrensElibrary,2005
5847,Digital,OverDrive,EBOOK,2018,1,6,"Immortal in Death: In Death Series, Book 3",,J. D. Robb,"Fiction, Romance, Suspense","Penguin Group (USA), Inc.",2013
5851,Digital,OverDrive,EBOOK,2018,1,1,Splendor,,Elana K. Arnold,"Romance, Young Adult Fiction, Young Adult Literature","Random House, Inc.",2013
5856,Digital,OverDrive,EBOOK,2018,1,3,The Things We Cherished: A Novel,,Pam Jenoff,"Fiction, Historical Fiction, Literature, Romance","Random House, Inc.",2011
5859,Digital,OverDrive,EBOOK,2018,1,3,"The Source of Magic: Xanth Series, Book 2",,Piers Anthony,"Fantasy, Fiction, Humor (Fiction), Thriller","Random House, Inc.",2011
5861,Digital,OverDrive,EBOOK,2018,1,2,The Artemis Fowl Files,,Eoin Colfer,"Juvenile Fiction, Juvenile Literature, Mythology",Disney Digital Books,2011
5866,Digital,OverDrive,EBOOK,2018,1,1,"Bryant & May and the Bleeding Heart: Bryant and May Series, Book 11",,Christopher Fowler,"Fiction, Mystery, Suspense, Thriller","Random House, Inc.",2014
5878,Digital,OverDrive,EBOOK,2018,1,3,Our Friends from Frolix 8,,Philip K. Dick,"Fiction, Science Fiction",Houghton Mifflin Harcourt Trade and Reference,2017
5879,Digital,OverDrive,EBOOK,2018,1,1,Night Prayers,,Santiago Gamboa,"Fiction, Literature","Penguin Group (USA), Inc.",2016
5885,Digital,OverDrive,EBOOK,2018,1,1,"A Likely Story: Library Lover's Mystery, Book 6",,Jenn McKinlay,"Fiction, Mystery","Penguin Group (USA), Inc.",2015
5886,Digital,OverDrive,EBOOK,2018,1,1,Dream Man,,Linda Howard,"Fiction, Romance","Simon & Schuster, Inc.",2014
5887,Digital,OverDrive,EBOOK,2018,1,2,"Day Zero: Jericho Quinn Series, Book 5",,Marc Cameron,"Fiction, Suspense, Thriller","Random House, Inc.",2016
5890,Digital,OverDrive,EBOOK,2018,1,3,"The Hot Zone: Futuristic World of Harmony: Rainshadow Series, Book 3",,Jayne Castle,"Fantasy, Fiction, Horror, Romance","Penguin Group (USA), Inc.",2014
5897,Digital,OverDrive,EBOOK,2018,1,1,The Big Bang,,Linda Joffe Hull,"Fiction, Literature","Simon & Schuster, Inc.",2014
5900,Digital,OverDrive,EBOOK,2018,1,1,"Fitness Made Simple: The Power to Change Your Body, the Power to Change Your Life",,John Basedow,"Health & Fitness, Nonfiction",McGraw-Hill Professional,2010
5904,Digital,OverDrive,EBOOK,2018,1,2,"Izzy & Lenore: Two Dogs, an Unexpected Journey, and Me",,Jon Katz,"Biography & Autobiography, New Age, Nonfiction, Pets","Random House, Inc.",2008
5907,Digital,OverDrive,EBOOK,2018,1,1,"The Queen's Secret: Queens of England Series, Book 7",,Jean Plaidy,"Fiction, Historical Fiction, Literature, Romance","Random House, Inc.",2010
5914,Digital,OverDrive,EBOOK,2018,1,3,LEGO Architect,,Tom Alphin,"Crafts, Nonfiction","Random House, Inc.",2015
5924,Digital,OverDrive,EBOOK,2018,1,1,Lost in the City,,Edward P. Jones,Fiction,HarperCollins Publishers Inc.,2006
5933,Digital,OverDrive,EBOOK,2018,1,3,"Brimstone: Pendergast Series, Book 5",,Douglas Preston,"Fiction, Literature, Thriller","Hachette Digital, Inc.",2005
5942,Digital,OverDrive,EBOOK,2018,1,1,Free to Fall,,Lauren Miller,"Science Fiction, Young Adult Fiction",HarperCollins Publishers Inc.,2014
5948,Digital,OverDrive,EBOOK,2018,1,2,"Texas Princess: Whispering Mountain Series, Book 2",,Jodi Thomas,"Fiction, Romance","Penguin Group (USA), Inc.",2011
5949,Digital,OverDrive,EBOOK,2018,1,3,"Seeing Red: Firefighters Series, Book 3",,Jill Shalvis,"Fiction, Romance, Suspense","Hachette Digital, Inc.",2013
5953,Digital,OverDrive,EBOOK,2018,1,4,On Power: My Journey Through the Corridors of Power and How You Can Get More Power,,Mr. Gene Simmons,"Business, Finance, Nonfiction, Self-Improvement",HarperCollins Publishers Inc.,2017
5957,Digital,OverDrive,EBOOK,2018,1,2,"101 Optimal Life Foods: Alleviate Stress, Ease Muscle Pain, Boost Short-Term Memory, and Eat Your Way toGreat Health...One Delicious Bite at a Time",,David Grotto,"Health & Fitness, Nonfiction","Random House, Inc.",2010
5958,Digital,OverDrive,EBOOK,2018,1,4,The Candymakers and the Great Chocolate Chase,,Wendy Mass,"Juvenile Fiction, Juvenile Literature","Hachette Digital, Inc.",2016
5959,Digital,OverDrive,EBOOK,2018,1,1,"Artscape: Ike Schwartz Mystery Series, Book 1",,Frederick Ramsay,"Fiction, Mystery",Poisoned Pen Press,2012
5961,Digital,OverDrive,EBOOK,2018,1,1,Empress of Eternity,,"L. E. Modesitt, Jr.","Fiction, Science Fiction",Macmillan Publishers,2014
5969,Digital,OverDrive,EBOOK,2018,1,3,"In Like Flynn: Molly Murphy Series, Book 4",,Rhys Bowen,"Fiction, Historical Fiction, Mystery",Macmillan Publishers,2013
5975,Digital,OverDrive,EBOOK,2018,1,1,Drew Brees,,Matt Christopher,"Biography & Autobiography, Juvenile Nonfiction, Sports & Recreations","Hachette Digital, Inc.",2015
5980,Digital,OverDrive,EBOOK,2018,1,2,"Mindfulness Workbook for Addiction: A Guide to Coping with the Grief, Stress and Anger that Trigger Addictive Behaviors",,Rebecca E. Williams,"Nonfiction, Self-Improvement",New Harbinger Publications,2012
5987,Digital,OverDrive,EBOOK,2018,1,1,"Merry, Merry Ghost: Bailey Ruth Series, Book 2",,Carolyn Hart,"Fiction, Mystery",HarperCollins Publishers Inc.,2010
5990,Digital,OverDrive,EBOOK,2018,1,1,"The Queen: The Patrick Bowers Files Series, Book 5",,Steven James,"Fiction, Thriller",Baker Publishing Group,2011
5993,Digital,OverDrive,EBOOK,2018,1,4,Trauma and Memory: Brain and Body in a Search for the Living Past: A Practical Guide for Understanding and Working with Traumatic Memory,,"Peter A. Levine, Ph.D.","Nonfiction, Psychology, Self Help","Random House, Inc.",2015
5997,Digital,OverDrive,EBOOK,2018,1,1,Freckleface Strawberry: Backpacks!: Read & Listen Edition,,Julianne Moore,"Beginning Reader, Juvenile Fiction","Random House, Inc.",2016
6006,Digital,OverDrive,EBOOK,2018,1,1,Epic Fail,,Claire LaZebnik,"Romance, Young Adult Fiction",HarperCollins Publishers Inc.,2011
6009,Digital,OverDrive,EBOOK,2018,1,3,The Hour of Land: A Personal Topography of America's National Parks,,Terry Tempest Williams,"Nature, Nonfiction, Travel",Macmillan Publishers,2016
6010,Digital,OverDrive,EBOOK,2018,1,1,Get Rich with Options: Four Winning Strategies Straight from the Exchange Floor,,Lee Lowell,"Finance, Nonfiction, Self Help","John Wiley & Sons, Inc.",2009
6016,Digital,OverDrive,EBOOK,2018,1,2,Titan,,Stephen Baxter,"Fiction, Science Fiction",HarperCollins Publishers Inc.,2011
6021,Digital,OverDrive,EBOOK,2018,1,1,Roadwork,,Stephen King,"Fiction, Suspense","Penguin Group (USA), Inc.",2009
6026,Digital,OverDrive,EBOOK,2018,1,2,vN: The First Machine Dynasty,,Madeline Ashby,"Fiction, Literature, Romance, Science Fiction","Random House, Inc.",2012
6037,Digital,OverDrive,EBOOK,2018,1,4,"First Lord's Fury: Codex Alera Series, Book 6",,Jim Butcher,"Fantasy, Fiction","Penguin Group (USA), Inc.",2010
6039,Digital,OverDrive,EBOOK,2018,1,4,Mindfulness in Action: Making Friends with Yourself through Meditation and Everyday Awareness,,Chogyam Trungpa,"New Age, Nonfiction, Religion & Spirituality, Self-Improvement","Random House, Inc.",2016
